score: 0.6852173913043476 | 1, Quartic, 0.5, 1
score: 0.688695652173913 | 1, Quartic, 0.7, 1
score: 0.6939130434782609 | 1, Quartic, 2.800000000000001, 1
score: 0.6956521739130433 | 1, Uniform, 1.7000000000000004, 1
score: 0.697391304347826 | 1, Uniform, 2.0000000000000004, 1
score: 0.6991304347826087 | 1, Gaussian, 2.400000000000001, 1
score: 0.7008695652173913 | 2, Quartic, 2.3000000000000007, 1
score: 0.702608695652174 | 2, Epanechnikov, 2.700000000000001, 1
score: 0.7147826086956522 | 3, Quartic, 0.5, 1
score: 0.7391304347826086 | 3, Quartic, 0.6, 1
score: 0.7443478260869565 | 3, Quartic, 1.8000000000000005, 2
score: 0.746086956521739 | 3, Uniform, 0.7999999999999999, 2
score: 0.751304347826087 | 3, Uniform, 2.600000000000001, 2
score: 0.7565217391304347 | 4, Epanechnikov, 2.0000000000000004, 1
score: 0.7582608695652173 | 4, Epanechnikov, 2.700000000000001, 1
score: 0.7652173913043478 | 5, Epanechnikov, 1.5000000000000002, 1
score: 0.7669565217391303 | 9, Triweight, 0.5, 2
score: 0.7739130434782608 | 10, Quartic, 0.6, 1



f1score
score: 0.6936249101734371 | 1, Gaussian, 1.4000000000000001, 1
score: 0.6977938754624177 | 2, Epanechnikov, 2.1000000000000005, 1
score: 0.7149993176118741 | 2, Uniform, 0.5, 1
score: 0.7244040412350515 | 2, Uniform, 0.7, 1
score: 0.7310760800578231 | 2, Uniform, 1.0999999999999999, 1
score: 0.734237380039345 | 2, Uniform, 1.7000000000000004, 1
score: 0.7386189702842978 | 2, Uniform, 1.8000000000000005, 1
score: 0.7396775837022831 | 3, Quartic, 0.5, 3
score: 0.7417389781334862 | 3, Uniform, 2.3000000000000007, 1
score: 0.7432939107337277 | 3, Gaussian, 1.4000000000000001, 3
score: 0.7462617316663848 | 3, Triweight, 2.700000000000001, 1
score: 0.7710620985346335 | 4, Epanechnikov, 2.9000000000000012, 1
